01-01-2009, -10, 747, Ю 2м/с, -12, 744, Ю 2м/с
02-01-2009, -8, 740, Ю 2м/с, -9, 741, Ю 2м/с
03-01-2009, -14, 745, З 2м/с, -16, 747, З 2м/с
04-01-2009, -16, 747, В 2м/с, -13, 745, В 2м/с
05-01-2009, -12, 748, ЮВ 1м/с, -13, 748, ЮВ 1м/с
06-01-2009, -15, 748, З 1м/с, -18, 750, З 1м/с
07-01-2009, -16, 751, З 2м/с, -16, 753, З 2м/с
08-01-2009, -15, 756, Ю 2м/с, -17, 756, Ю 2м/с
09-01-2009, -13, 745, ЮВ 2м/с, -13, 744, ЮВ 2м/с
10-01-2009, -16, 747, В 2м/с, -16, 747, В 2м/с
11-01-2009, -20, 750, С 3м/с, -22, 750, С 3м/с
12-01-2009, -18, 751, З 1м/с, -20, 751, З 1м/с
13-01-2009, -16, 749, Ю 2м/с, -12, 746, Ю 2м/с
14-01-2009, -4, 746, ЮЗ 3м/с, -6, 749, ЮЗ 3м/с
15-01-2009, -2, 753, ЮЗ 1м/с, -2, 753, ЮЗ 1м/с
16-01-2009, -5, 748, Ю 2м/с, -2, 750, Ю 2м/с
17-01-2009, -4, 757, С 3м/с, -5, 758, С 3м/с
18-01-2009, -7, 756, В 5м/с, -7, 753, В 5м/с
19-01-2009, -5, 753, Ш, -8, 753, Ш
20-01-2009, -7, 753, Ю 2м/с, -7, 755, Ю 2м/с
21-01-2009, -5, 759, Ш, -5, 761, Ш
22-01-2009, -7, 763, ЮЗ 1м/с, -8, 763, ЮЗ 1м/с
23-01-2009, -7, 759, Ю 3м/с, -11, 758, Ю 3м/с
24-01-2009, -7, 753, В 3м/с, -8, 753, В 3м/с
25-01-2009, -4, 754, Ю 1м/с, -8, 754, Ю 1м/с
26-01-2009, -6, 756, В 1м/с, -8, 756, В 1м/с
27-01-2009, -4, 755, В 1м/с, -8, 755, В 1м/с
28-01-2009, -5, 754, ЮЗ 1м/с, -9, 753, ЮЗ 1м/с
29-01-2009, -7, 751, Ш, -12, 751, Ш
30-01-2009, -9, 751, В 2м/с, -10, 753, В 2м/с
31-01-2009, -8, 753, В 2м/с, -8, 753, В 2м/с
01-02-2009, -6, 753, СЗ 1м/с, -10, 754, СЗ 1м/с
02-02-2009, -8, 754, З 1м/с, -11, 752, З 1м/с
03-02-2009, -8, 747, З 2м/с, -11, 749, З 2м/с
04-02-2009, -8, 748, ЮЗ 4м/с, -11, 753, ЮЗ 4м/с
