01-01-2013, -8, 750, З 1м/с, -10, 752, З 1м/с
02-01-2013, -10, 756, З 1м/с, -12, 755, З 1м/с
03-01-2013, -8, 751, В 2м/с, -5, 749, В 2м/с
04-01-2013, -1, 744, З 3м/с, -1, 745, З 3м/с
05-01-2013, -1, 746, З 2м/с, -3, 746, З 2м/с
06-01-2013, -5, 748, В 2м/с, -4, 748, В 2м/с
07-01-2013, -5, 752, В 2м/с, -6, 753, В 2м/с
08-01-2013, -8, 752, В 2м/с, -9, 751, В 2м/с
09-01-2013, -7, 745, С 3м/с, -10, 745, С 3м/с
10-01-2013, -10, 747, С 1м/с, -13, 747, С 1м/с
11-01-2013, -13, 750, Ш, -17, 751, Ш
12-01-2013, -16, 753, З 2м/с, -18, 753, З 2м/с
13-01-2013, -12, 746, З 2м/с, -12, 745, З 2м/с
14-01-2013, -10, 746, З 3м/с, -11, 747, З 3м/с
15-01-2013, -5, 749, З 2м/с, -8, 751, З 2м/с
16-01-2013, -7, 753, З 2м/с, -9, 753, З 2м/с
17-01-2013, -10, 753, ЮВ 3м/с, -10, 754, ЮВ 3м/с
18-01-2013, -7, 751, ЮВ 3м/с, -7, 749, ЮВ 3м/с
19-01-2013, -5, 746, Ю 2м/с, -4, 746, Ю 2м/с
20-01-2013, +1, 743, Ю 1м/с, +1, 743, Ю 1м/с
21-01-2013, -3, 742, Ю 1м/с, -3, 739, Ю 1м/с
22-01-2013, -9, 738, З 3м/с, -14, 741, З 3м/с
23-01-2013, -13, 745, З 2м/с, -15, 745, З 2м/с
24-01-2013, -11, 743, СВ 2м/с, -11, 741, СВ 2м/с
25-01-2013, -11, 743, З 3м/с, -15, 746, З 3м/с
26-01-2013, -12, 756, З 1м/с, -19, 758, З 1м/с
27-01-2013, -15, 760, З 2м/с, -19, 760, З 2м/с
28-01-2013, -14, 761, В 1м/с, -18, 762, В 1м/с
29-01-2013, -15, 759, В 2м/с, -18, 759, В 2м/с
30-01-2013, -13, 757, В 3м/с, -11, 756, В 3м/с
31-01-2013, -4, 749, В 4м/с, -5, 747, В 4м/с
01-02-2013, -5, 743, СЗ 1м/с, -12, 743, СЗ 1м/с
02-02-2013, -8, 747, В 1м/с, -8, 750, В 1м/с
03-02-2013, -3, 754, ЮВ 1м/с, -2, 755, ЮВ 1м/с
04-02-2013, -1, 749, ЮВ 3м/с, -2, 745, ЮВ 3м/с
05-02-2013, 0, 745, ЮЗ 3м/с, -1, 747, ЮЗ 3м/с
06-02-2013, -1, 754, З 2м/с, -5, 756, З 2м/с
07-02-2013, -4, 761, ЮВ 2м/с, -7, 761, ЮВ 2м/с
08-02-2013, -5, 763, ЮВ 2м/с, -7, 764, ЮВ 2м/с
09-02-2013, -5, 766, В 2м/с, -9, 766, В 2м/с
10-02-2013, -6, 764, ЮВ 2м/с, -7, 764, ЮВ 2м/с
11-02-2013, -6, 762, ЮВ 3м/с, -8, 762, ЮВ 3м/с
12-02-2013, -4, 761, ЮВ 2м/с, -7, 762, ЮВ 2м/с
13-02-2013, -4, 763, ЮВ 1м/с, -8, 763, ЮВ 1м/с
14-02-2013, -6, 765, В 2м/с, -9, 764, В 2м/с
15-02-2013, -5, 762, В 3м/с, -8, 761, В 3м/с
16-02-2013, -6, 757, В 4м/с, -6, 755, В 4м/с
17-02-2013, -1, 753, В 3м/с, -3, 753, В 3м/с
18-02-2013, -5, 750, ЮВ 2м/с, -9, 749, ЮВ 2м/с
19-02-2013, -6, 750, ЮВ 2м/с, -9, 751, ЮВ 2м/с
20-02-2013, -9, 753, З 2м/с, -13, 754, З 2м/с
21-02-2013, -8, 755, ЮЗ 2м/с, -10, 755, ЮЗ 2м/с
22-02-2013, -8, 753, З 2м/с, -12, 753, З 2м/с
23-02-2013, -7, 758, СЗ 2м/с, -12, 760, СЗ 2м/с
24-02-2013, -4, 758, ЮЗ 3м/с, -7, 760, ЮЗ 3м/с
25-02-2013, -3, 759, З 3м/с, -6, 759, З 3м/с
26-02-2013, -2, 758, З 2м/с, -5, 755, З 2м/с
27-02-2013, -5, 741, З 3м/с, -9, 744, З 3м/с
28-02-2013, -9, 743, ЮЗ 6м/с, -8, 738, ЮЗ 6м/с
01-03-2013, +1, 735, ЮЗ 2м/с, 0, 733, ЮЗ 2м/с
02-03-2013, +1, 734, З 4м/с, -10, 740, З 4м/с
03-03-2013, -7, 742, СЗ 3м/с, -14, 745, СЗ 3м/с
04-03-2013, -10, 746, В 4м/с, -12, 748, В 4м/с
05-03-2013, -9, 747, С 2м/с, -13, 748, С 2м/с
06-03-2013, -14, 754, С 3м/с, -18, 755, С 3м/с
07-03-2013, -2, 740, ЮЗ 5м/с, 0, 740, ЮЗ 5м/с
08-03-2013, -2, 742, СЗ 3м/с, -9, 746, СЗ 3м/с
09-03-2013, -6, 754, З 2м/с, -11, 755, З 2м/с
10-03-2013, -10, 746, В 2м/с, -9, 744, В 2м/с
11-03-2013, -6, 746, СВ 2м/с, -8, 746, СВ 2м/с
12-03-2013, -5, 740, СВ 2м/с, -9, 742, СВ 2м/с
13-03-2013, -4, 743, СЗ 2м/с, -8, 744, СЗ 2м/с
14-03-2013, +1, 749, СВ 1м/с, -4, 751, СВ 1м/с
15-03-2013, 0, 755, Ю 2м/с, -1, 753, Ю 2м/с
16-03-2013, +3, 748, ЮВ 3м/с, +5, 748, ЮВ 3м/с
17-03-2013, +2, 748, В 2м/с, +2, 747, В 2м/с
18-03-2013, +3, 744, В 3м/с, +3, 742, В 3м/с
19-03-2013, 0, 742, ЮЗ 3м/с, -2, 745, ЮЗ 3м/с
20-03-2013, +1, −, З 2м/с, 0, 748, З 2м/с
21-03-2013, +2, 742, ЮЗ 3м/с, +1, 743, ЮЗ 3м/с
22-03-2013, -2, 749, С 1м/с, -4, 751, С 1м/с
23-03-2013, -1, 751, В 3м/с, -3, 750, В 3м/с
24-03-2013, +5, 742, В 3м/с, +3, 742, В 3м/с
25-03-2013, -2, 740, ЮЗ 2м/с, -4, 740, ЮЗ 2м/с
26-03-2013, -3, 738, ЮЗ 3м/с, -4, 739, ЮЗ 3м/с
27-03-2013, -2, 744, ЮЗ 3м/с, -3, 746, ЮЗ 3м/с
28-03-2013, +1, 749, ЮЗ 2м/с, -4, 750, ЮЗ 2м/с
29-03-2013, -3, 754, СЗ 2м/с, -5, 756, СЗ 2м/с
30-03-2013, +2, 760, З 2м/с, -1, 760, З 2м/с
31-03-2013, +2, 759, Ю 3м/с, +1, 757, Ю 3м/с
01-04-2013, +3, 756, Ю 2м/с, +4, 756, Ю 2м/с
02-04-2013, +11, 755, Ю 2м/с, +7, 754, Ю 2м/с
03-04-2013, +12, 754, ЮВ 2м/с, +10, 753, ЮВ 2м/с
04-04-2013, +13, 753, В 3м/с, +6, 754, В 3м/с
05-04-2013, +11, 751, В 3м/с, +11, 751, В 3м/с
06-04-2013, +18, 744, ЮЗ 3м/с, +12, 743, ЮЗ 3м/с
07-04-2013, +13, 740, Ю 1м/с, +9, 739, Ю 1м/с
08-04-2013, +5, 744, З 2м/с, +3, 745, З 2м/с
09-04-2013, +2, 745, С 2м/с, +1, 747, С 2м/с
10-04-2013, +8, 751, СВ 4м/с, +5, 749, СВ 4м/с
11-04-2013, +2, 749, СЗ 3м/с, +1, 751, СЗ 3м/с
12-04-2013, +2, 753, С 1м/с, 0, 752, С 1м/с
13-04-2013, +1, 753, СЗ 3м/с, 0, 754, СЗ 3м/с
14-04-2013, +2, 755, С 2м/с, +2, 757, С 2м/с
15-04-2013, +9, 759, С 2м/с, +5, 761, С 2м/с
16-04-2013, +13, 759, З 2м/с, +11, 757, З 2м/с
17-04-2013, +17, 753, СЗ 4м/с, +12, 754, СЗ 4м/с
18-04-2013, +18, 753, З 3м/с, +16, 752, З 3м/с
19-04-2013, +21, 750, ЮЗ 2м/с, +13, 750, ЮЗ 2м/с
20-04-2013, +23, 748, З 3м/с, +12, 747, З 3м/с
21-04-2013, +24, 743, ЮЗ 2м/с, +19, 743, ЮЗ 2м/с
22-04-2013, +17, 743, С 2м/с, +12, 744, С 2м/с
23-04-2013, +17, 744, С 3м/с, +10, 745, С 3м/с
24-04-2013, +15, 744, С 2м/с, +12, 743, С 2м/с
25-04-2013, +12, 742, Ю 2м/с, +9, 742, Ю 2м/с
26-04-2013, +8, 737, С 2м/с, +8, 739, С 2м/с
27-04-2013, +13, 743, З 4м/с, +12, 741, З 4м/с
28-04-2013, +15, 742, СЗ 2м/с, +13, 743, СЗ 2м/с
29-04-2013, +11, 747, СЗ 4м/с, +9, 752, СЗ 4м/с
30-04-2013, +15, 756, З 2м/с, +13, 754, З 2м/с
01-05-2013, +18, 752, СЗ 2м/с, +15, 751, СЗ 2м/с
