01-01-2014, 0, 759, З 1м/с, -1, 759, З 1м/с
02-01-2014, -1, 758, З 1м/с, -2, 759, З 1м/с
03-01-2014, -3, 762, С 1м/с, -3, 763, С 1м/с
04-01-2014, -8, 765, В 3м/с, -8, 764, В 3м/с
05-01-2014, -10, 763, ЮВ 1м/с, -11, 762, ЮВ 1м/с
06-01-2014, -12, 759, Ю 2м/с, -10, 758, Ю 2м/с
07-01-2014, -6, 755, Ю 1м/с, -6, 756, Ю 1м/с
08-01-2014, -3, 751, Ю 2м/с, +1, 749, Ю 2м/с
09-01-2014, 0, 745, З 2м/с, 0, 743, З 2м/с
10-01-2014, 0, 742, З 1м/с, 0, 743, З 1м/с
11-01-2014, +1, 735, Ю 3м/с, +1, 735, Ю 3м/с
12-01-2014, 0, 739, ЮЗ 2м/с, -1, 741, ЮЗ 2м/с
13-01-2014, +1, 736, Ю 3м/с, +1, 737, Ю 3м/с
14-01-2014, 0, 740, ЮЗ 2м/с, -4, 742, ЮЗ 2м/с
15-01-2014, -9, 750, З 3м/с, -11, 752, З 3м/с
16-01-2014, -10, 753, В 2м/с, -8, 747, В 2м/с
17-01-2014, -4, 740, З 4м/с, -10, 742, З 4м/с
18-01-2014, -11, 747, З 3м/с, -15, 747, З 3м/с
19-01-2014, -18, 747, С 2м/с, -22, 749, С 2м/с
20-01-2014, -19, 755, СЗ 3м/с, -16, 756, СЗ 3м/с
21-01-2014, -12, 759, З 2м/с, -12, 759, З 2м/с
22-01-2014, -13, 758, В 1м/с, -19, 758, В 1м/с
23-01-2014, -15, 752, В 3м/с, -13, 751, В 3м/с
24-01-2014, -10, 750, В 4м/с, -10, 750, В 4м/с
25-01-2014, -12, 752, В 3м/с, -15, 754, В 3м/с
26-01-2014, -17, 754, СЗ 2м/с, -21, 755, СЗ 2м/с
27-01-2014, -17, 756, З 2м/с, -21, 756, З 2м/с
28-01-2014, -22, 759, С 2м/с, -26, 760, С 2м/с
29-01-2014, -27, 766, С 2м/с, -29, 768, С 2м/с
30-01-2014, -23, 773, СЗ 2м/с, -25, 773, СЗ 2м/с
31-01-2014, -17, 774, З 1м/с, -23, 774, З 1м/с
01-02-2014, -20, 775, В 2м/с, -26, 776, В 2м/с
02-02-2014, -19, 775, ЮЗ 1м/с, -22, 773, ЮЗ 1м/с
03-02-2014, -16, 761, З 3м/с, -15, 758, З 3м/с
04-02-2014, -12, 747, Ю 1м/с, -12, 745, Ю 1м/с
05-02-2014, -16, 750, С 2м/с, -19, 752, С 2м/с
06-02-2014, -15, 754, С 1м/с, -21, 755, С 1м/с
07-02-2014, -19, 758, ЮВ 2м/с, -24, 759, ЮВ 2м/с
08-02-2014, -15, 759, ЮВ 2м/с, -16, 759, ЮВ 2м/с
09-02-2014, -13, 761, В 2м/с, -14, 761, В 2м/с
10-02-2014, -15, 761, В 2м/с, -18, 760, В 2м/с
11-02-2014, -13, 760, ЮВ 2м/с, -13, 759, ЮВ 2м/с
12-02-2014, -9, 754, Ю 2м/с, -8, 753, Ю 2м/с
13-02-2014, -1, 753, Ю 1м/с, -1, 753, Ю 1м/с
14-02-2014, +1, 754, Ю 2м/с, -1, 755, Ю 2м/с
15-02-2014, -3, 754, ЮВ 2м/с, -6, 754, ЮВ 2м/с
16-02-2014, -4, 753, ЮВ 1м/с, -5, 752, ЮВ 1м/с
17-02-2014, -5, 748, Ю 2м/с, -7, 747, Ю 2м/с
18-02-2014, -3, 739, Ю 1м/с, -2, 738, Ю 1м/с
19-02-2014, +1, 737, З 3м/с, 0, 739, З 3м/с
20-02-2014, 0, 741, З 1м/с, -2, 741, З 1м/с
21-02-2014, -3, 746, С 2м/с, -13, 751, С 2м/с
22-02-2014, -16, 762, СВ 2м/с, -19, 765, СВ 2м/с
23-02-2014, -17, 769, Ю 2м/с, -20, 769, Ю 2м/с
24-02-2014, -15, 769, ЮЗ 2м/с, -18, 769, ЮЗ 2м/с
25-02-2014, -9, 769, З 2м/с, -13, 769, З 2м/с
26-02-2014, -4, 766, ЮЗ 2м/с, -9, 765, ЮЗ 2м/с
27-02-2014, +1, 762, З 1м/с, -11, 761, З 1м/с
28-02-2014, -7, 759, В 2м/с, -7, 759, В 2м/с
01-03-2014, -3, 759, В 2м/с, -6, 759, В 2м/с
02-03-2014, -4, 759, В 2м/с, -8, 758, В 2м/с
03-03-2014, -6, 757, В 2м/с, -8, 757, В 2м/с
04-03-2014, -5, 756, ЮВ 2м/с, -8, 755, ЮВ 2м/с
05-03-2014, -4, 755, З 1м/с, -8, 755, З 1м/с
06-03-2014, +1, 757, СЗ 2м/с, -4, 758, СЗ 2м/с
07-03-2014, +1, 764, СЗ 3м/с, -6, 764, СЗ 3м/с
08-03-2014, -1, 762, З 3м/с, -4, 761, З 3м/с
09-03-2014, -2, 760, З 2м/с, -4, 760, З 2м/с
10-03-2014, +1, 758, З 3м/с, -3, 756, З 3м/с
11-03-2014, +4, 749, ЮЗ 3м/с, -2, 747, ЮЗ 3м/с
12-03-2014, +2, 745, СВ 2м/с, +1, 743, СВ 2м/с
13-03-2014, +3, 737, СЗ 3м/с, +2, 738, СЗ 3м/с
14-03-2014, +4, 741, З 2м/с, +2, 738, З 2м/с
15-03-2014, +5, 741, ЮЗ 3м/с, +2, 741, ЮЗ 3м/с
16-03-2014, +5, 735, Ю 4м/с, +5, 733, Ю 4м/с
17-03-2014, +2, 734, ЮВ 1м/с, 0, 733, ЮВ 1м/с
18-03-2014, 0, 725, З 3м/с, -1, 726, З 3м/с
19-03-2014, +2, 737, З 5м/с, -3, 740, З 5м/с
20-03-2014, +1, 740, С 1м/с, -2, 743, С 1м/с
21-03-2014, +1, 753, С 2м/с, -6, 754, С 2м/с
22-03-2014, +5, 748, ЮЗ 4м/с, +4, 747, ЮЗ 4м/с
23-03-2014, +9, 751, З 2м/с, +4, 753, З 2м/с
24-03-2014, +11, 755, ЮЗ 2м/с, +5, 756, ЮЗ 2м/с
25-03-2014, +9, 755, Ю 3м/с, +7, 755, Ю 3м/с
26-03-2014, +13, 752, ЮЗ 2м/с, +3, 754, ЮЗ 2м/с
27-03-2014, +4, 756, СВ 2м/с, +1, 753, СВ 2м/с
28-03-2014, +7, 740, З 3м/с, -1, 739, З 3м/с
29-03-2014, +2, 740, СВ 3м/с, -1, 741, СВ 3м/с
30-03-2014, +3, 738, СВ 4м/с, 0, 735, СВ 4м/с
31-03-2014, +2, 734, З 3м/с, -3, 738, З 3м/с
01-04-2014, 0, 737, В 3м/с, +1, 736, В 3м/с
02-04-2014, -1, 738, З 3м/с, -4, 741, З 3м/с
03-04-2014, +2, 747, ЮЗ 2м/с, -2, 748, ЮЗ 2м/с
04-04-2014, +4, 746, ЮЗ 4м/с, +2, 746, ЮЗ 4м/с
05-04-2014, +1, 740, В 2м/с, 0, 740, В 2м/с
06-04-2014, +5, 745, З 4м/с, +2, 745, З 4м/с
07-04-2014, +11, 742, З 4м/с, +4, 744, З 4м/с
08-04-2014, +4, 742, СЗ 1м/с, +4, 742, СЗ 1м/с
09-04-2014, +3, 744, С 2м/с, 0, 746, С 2м/с
10-04-2014, +1, 753, С 2м/с, -1, 756, С 2м/с
11-04-2014, +3, 762, С 2м/с, -1, 763, С 2м/с
12-04-2014, +7, 763, З 3м/с, +3, 762, З 3м/с
13-04-2014, +10, 760, Ю 3м/с, +7, 758, Ю 3м/с
14-04-2014, +11, 757, Ю 2м/с, +8, 756, Ю 2м/с
15-04-2014, +9, 756, ЮЗ 2м/с, +8, 756, ЮЗ 2м/с
16-04-2014, +16, 756, ЮЗ 2м/с, +11, 756, ЮЗ 2м/с
17-04-2014, +15, 753, ЮЗ 2м/с, +11, 753, ЮЗ 2м/с
18-04-2014, +12, 756, С 1м/с, +8, 756, С 1м/с
19-04-2014, +15, 757, СЗ 2м/с, +11, 757, СЗ 2м/с
20-04-2014, +18, 755, З 1м/с, +11, 754, З 1м/с
21-04-2014, +19, 755, С 2м/с, +11, 758, С 2м/с
22-04-2014, +15, 759, Ю 2м/с, +11, 758, Ю 2м/с
23-04-2014, +20, 748, З 3м/с, +16, 744, З 3м/с
24-04-2014, +5, 744, СЗ 3м/с, +1, 746, СЗ 3м/с
25-04-2014, +6, 743, З 4м/с, +3, 743, З 4м/с
26-04-2014, +6, 748, СЗ 3м/с, +2, 751, СЗ 3м/с
27-04-2014, +12, 753, З 3м/с, +10, 753, З 3м/с
28-04-2014, +18, 753, З 3м/с, +13, 753, З 3м/с
29-04-2014, +19, 749, Ю 2м/с, +14, 749, Ю 2м/с
30-04-2014, +20, 742, ЮВ 2м/с, +13, 740, ЮВ 2м/с
01-05-2014, +12, 743, З 2м/с, +11, 744, З 2м/с
02-05-2014, +18, 746, ЮЗ 2м/с, +13, 744, ЮЗ 2м/с
03-05-2014, +15, 742, З 2м/с, +12, 744, З 2м/с
04-05-2014, +13, 753, С 1м/с, +10, 754, С 1м/с
05-05-2014, +20, 748, ЮВ 2м/с, +18, 746, ЮВ 2м/с
06-05-2014, +17, 745, ЮЗ 2м/с, +12, 746, ЮЗ 2м/с
07-05-2014, +13, 753, З 3м/с, +8, 756, З 3м/с
08-05-2014, +15, 761, З 1м/с, +9, 761, З 1м/с
09-05-2014, +20, 759, ЮВ 1м/с, +17, 757, ЮВ 1м/с
10-05-2014, +22, 754, В 2м/с, +18, 753, В 2м/с
11-05-2014, +28, 750, Ю 3м/с, +24, 750, Ю 3м/с
12-05-2014, +28, 752, СЗ 1м/с, +24, 752, СЗ 1м/с
13-05-2014, +29, 751, Ю 2м/с, +23, 751, Ю 2м/с
14-05-2014, +30, 751, ЮЗ 3м/с, +24, 751, ЮЗ 3м/с
15-05-2014, +32, 751, З 2м/с, +24, 752, З 2м/с
16-05-2014, +32, 753, СЗ 2м/с, +23, 754, СЗ 2м/с
17-05-2014, +23, 754, В 2м/с, +21, 754, В 2м/с
18-05-2014, +24, 756, СВ 2м/с, +18, 756, СВ 2м/с
19-05-2014, +23, 757, З 2м/с, +14, 757, З 2м/с
20-05-2014, +27, 756, СВ 2м/с, +21, 757, СВ 2м/с
21-05-2014, +26, 758, З 2м/с, +17, 757, З 2м/с
22-05-2014, +29, 756, З 2м/с, +18, 755, З 2м/с
23-05-2014, +30, 752, ЮЗ 2м/с, +19, 752, ЮЗ 2м/с
24-05-2014, +28, 754, СВ 2м/с, +20, 753, СВ 2м/с
25-05-2014, +30, 751, З 2м/с, +19, 750, З 2м/с
26-05-2014, +30, 746, З 2м/с, +19, 745, З 2м/с
27-05-2014, +29, 742, СВ 2м/с, +19, 742, СВ 2м/с
28-05-2014, +20, 744, СВ 3м/с, +15, 746, СВ 3м/с
29-05-2014, +21, 751, СВ 2м/с, +17, 753, СВ 2м/с
30-05-2014, +22, 755, ЮВ 1м/с, +14, 756, ЮВ 1м/с
31-05-2014, +24, 756, З 2м/с, +15, 756, З 2м/с
01-06-2014, +26, 757, В 1м/с, +21, 756, В 1м/с
02-06-2014, +29, 758, СЗ 3м/с, +19, 758, СЗ 3м/с
03-06-2014, +30, 758, СЗ 2м/с, +19, 757, СЗ 2м/с
04-06-2014, +31, 757, СЗ 2м/с, +22, 756, СЗ 2м/с
05-06-2014, +31, 754, СЗ 1м/с, +21, 752, СЗ 1м/с
06-06-2014, +30, 749, СЗ 2м/с, +23, 749, СЗ 2м/с
07-06-2014, +26, 750, СВ 2м/с, +21, 751, СВ 2м/с
08-06-2014, +26, 751, З 2м/с, +21, 750, З 2м/с
09-06-2014, +30, 746, З 3м/с, +23, 744, З 3м/с
10-06-2014, +23, 740, ЮЗ 3м/с, +16, 740, ЮЗ 3м/с
11-06-2014, +20, 739, ЮВ 1м/с, +18, 738, ЮВ 1м/с
12-06-2014, +21, 737, З 1м/с, +16, 737, З 1м/с
13-06-2014, +22, 735, С 1м/с, +16, 734, С 1м/с
14-06-2014, +17, 735, З 4м/с, +13, 737, З 4м/с
15-06-2014, +14, 736, З 2м/с, +15, 737, З 2м/с
16-06-2014, +19, 743, ЮЗ 2м/с, +14, 745, ЮЗ 2м/с
17-06-2014, +20, 748, ЮЗ 3м/с, +18, 747, ЮЗ 3м/с
18-06-2014, +19, 745, З 2м/с, +15, 743, З 2м/с
19-06-2014, +16, 743, З 3м/с, +10, 745, З 3м/с
20-06-2014, +22, 749, З 2м/с, +17, 749, З 2м/с
21-06-2014, +25, 747, ЮВ 2м/с, +21, 744, ЮВ 2м/с
22-06-2014, +25, 741, ЮЗ 4м/с, +21, 744, ЮЗ 4м/с
23-06-2014, +23, 748, З 2м/с, +17, 747, З 2м/с
24-06-2014, +24, 746, З 3м/с, +19, 746, З 3м/с
25-06-2014, +23, 746, ЮЗ 3м/с, +19, 746, ЮЗ 3м/с
26-06-2014, +22, 746, З 3м/с, +19, 747, З 3м/с
27-06-2014, +23, 745, В 3м/с, +19, 743, В 3м/с
28-06-2014, +16, 743, З 4м/с, +14, 745, З 4м/с
29-06-2014, +12, 747, З 4м/с, +11, 749, З 4м/с
30-06-2014, +20, 753, СЗ 3м/с, +15, 753, СЗ 3м/с
01-07-2014, +25, 753, З 3м/с, +17, 753, З 3м/с
02-07-2014, +29, 752, З 2м/с, +19, 752, З 2м/с
03-07-2014, +31, 750, СЗ 1м/с, +21, 749, СЗ 1м/с
04-07-2014, +31, 745, ЮЗ 2м/с, +23, 746, ЮЗ 2м/с
05-07-2014, +23, 748, З 2м/с, +20, 749, З 2м/с
06-07-2014, +28, 750, З 3м/с, +23, 751, З 3м/с
07-07-2014, +22, 751, ЮВ 1м/с, +17, 750, ЮВ 1м/с
08-07-2014, +26, 747, СВ 3м/с, +21, 747, СВ 3м/с
09-07-2014, +25, 744, С 2м/с, +21, 744, С 2м/с
10-07-2014, +26, 743, СВ 2м/с, +18, 744, СВ 2м/с
11-07-2014, +24, 748, СЗ 2м/с, +17, 750, СЗ 2м/с
12-07-2014, +19, 752, СВ 3м/с, +15, 753, СВ 3м/с
13-07-2014, +26, 749, З 4м/с, +21, 748, З 4м/с
14-07-2014, +27, 750, СВ 2м/с, +20, 750, СВ 2м/с
15-07-2014, +30, 752, З 2м/с, +22, 751, З 2м/с
16-07-2014, +32, 750, З 2м/с, +22, 750, З 2м/с
17-07-2014, +31, 748, СЗ 2м/с, +24, 748, СЗ 2м/с
18-07-2014, +22, 749, С 2м/с, +17, 749, С 2м/с
19-07-2014, +23, 745, СЗ 3м/с, +15, 745, СЗ 3м/с
20-07-2014, +21, 744, З 3м/с, +14, 744, З 3м/с
21-07-2014, +19, 745, СЗ 2м/с, +11, 747, СЗ 2м/с
22-07-2014, +24, 745, СЗ 4м/с, +19, 745, СЗ 4м/с
23-07-2014, +25, 745, СЗ 2м/с, +20, 746, СЗ 2м/с
24-07-2014, +25, 746, СЗ 1м/с, +17, 746, СЗ 1м/с
25-07-2014, +23, 746, СЗ 3м/с, +17, 746, СЗ 3м/с
26-07-2014, +19, 745, С 2м/с, +15, 746, С 2м/с
27-07-2014, +19, 749, СЗ 3м/с, +15, 751, СЗ 3м/с
28-07-2014, +22, 750, СВ 2м/с, +16, 752, СВ 2м/с
29-07-2014, +24, 752, З 2м/с, +19, 751, З 2м/с
30-07-2014, +31, 750, З 3м/с, +25, 749, З 3м/с
31-07-2014, +31, 749, З 2м/с, +20, 749, З 2м/с
01-08-2014, +26, 750, С 2м/с, +21, 751, С 2м/с
02-08-2014, +25, 751, З 1м/с, +19, 751, З 1м/с
03-08-2014, +24, 748, С 1м/с, +21, 747, С 1м/с
04-08-2014, +24, 746, С 2м/с, +21, 745, С 2м/с
05-08-2014, +24, 745, В 4м/с, +18, 746, В 4м/с
06-08-2014, +26, 747, В 2м/с, +21, 747, В 2м/с
07-08-2014, +31, 748, В 2м/с, +26, 748, В 2м/с
08-08-2014, +31, 746, В 3м/с, +27, 746, В 3м/с
09-08-2014, +35, 741, Ю 3м/с, +24, 741, Ю 3м/с
10-08-2014, +29, 742, З 3м/с, +22, 743, З 3м/с
11-08-2014, +27, 743, СЗ 2м/с, +21, 745, СЗ 2м/с
12-08-2014, +27, 746, С 2м/с, +19, 747, С 2м/с
