01-01-2016, -16, 762, СВ 2м/с, -18, 762, СВ 2м/с
02-01-2016, -19, 760, В 1м/с, -20, 758, В 1м/с
03-01-2016, -12, 745, В 3м/с, -14, 745, В 3м/с
04-01-2016, -17, 752, ЮВ 2м/с, -17, 755, ЮВ 2м/с
05-01-2016, , , , -15, 758, Ш
06-01-2016, -16, 756, В 4м/с, -17, 755, В 4м/с
07-01-2016, -16, 752, В 3м/с, -14, 751, В 3м/с
08-01-2016, -9, 750, В 3м/с, -7, 749, В 3м/с
09-01-2016, -6, 740, В 5м/с, -3, 737, В 5м/с
10-01-2016, , , , -6, 738, Ш
11-01-2016, -12, 744, З 2м/с, -15, 747, З 2м/с
12-01-2016, -17, 755, З 1м/с, -19, 754, З 1м/с
13-01-2016, -11, 747, В 4м/с, -9, 746, В 4м/с
14-01-2016, -6, 747, ЮВ 2м/с, -7, 746, ЮВ 2м/с
15-01-2016, -5, 749, З 2м/с, -4, 750, З 2м/с
16-01-2016, -6, 756, СЗ 1м/с, -13, 758, СЗ 1м/с
17-01-2016, -12, 755, В 4м/с, -8, 753, В 4м/с
18-01-2016, -4, 752, ЮВ 3м/с, -4, 751, ЮВ 3м/с
19-01-2016, -7, 743, В 3м/с, -5, 742, В 3м/с
20-01-2016, -2, 741, В 1м/с, -3, 742, В 1м/с
21-01-2016, -8, 754, ЮЗ 4м/с, -10, 759, ЮЗ 4м/с
22-01-2016, -12, 764, В 3м/с, -10, 761, В 3м/с
23-01-2016, -6, 758, ЮВ 2м/с, -8, 756, ЮВ 2м/с
24-01-2016, -8, 757, СВ 1м/с, -13, 758, СВ 1м/с
25-01-2016, -19, 756, СЗ 2м/с, -22, 756, СЗ 2м/с
26-01-2016, -19, 755, СЗ 4м/с, -22, 756, СЗ 4м/с
27-01-2016, -17, 755, В 2м/с, -20, 755, В 2м/с
28-01-2016, -17, 753, В 2м/с, -20, 754, В 2м/с
29-01-2016, -11, 745, ЮВ 3м/с, -10, 744, ЮВ 3м/с
30-01-2016, -3, 746, З 1м/с, -1, 747, З 1м/с
31-01-2016, +1, 749, Ю 1м/с, 0, 749, Ю 1м/с
01-02-2016, +2, 744, Ю 3м/с, 0, 746, Ю 3м/с
02-02-2016, 0, 746, Ю 1м/с, 0, 745, Ю 1м/с
03-02-2016, 0, 740, ЮЗ 2м/с, 0, 738, ЮЗ 2м/с
04-02-2016, +2, 743, З 3м/с, 0, 744, З 3м/с
05-02-2016, +1, 745, З 1м/с, -1, 747, З 1м/с
06-02-2016, -3, 749, З 1м/с, -5, 749, З 1м/с
07-02-2016, -2, 753, СЗ 2м/с, -5, 755, СЗ 2м/с
08-02-2016, -3, 755, З 2м/с, -2, 755, З 2м/с
09-02-2016, 0, 758, З 2м/с, -4, 760, З 2м/с
10-02-2016, 0, 763, ЮЗ 3м/с, -4, 764, ЮЗ 3м/с
11-02-2016, -7, 765, В 3м/с, -8, 765, В 3м/с
12-02-2016, -4, 764, В 2м/с, -9, 764, В 2м/с
13-02-2016, -3, 761, В 1м/с, -8, 759, В 1м/с
14-02-2016, -5, 759, ЮВ 3м/с, -7, 759, ЮВ 3м/с
15-02-2016, -5, 760, В 2м/с, -5, 761, В 2м/с
16-02-2016, -2, 759, В 3м/с, -3, 755, В 3м/с
17-02-2016, 0, 748, СЗ 3м/с, -3, 749, СЗ 3м/с
18-02-2016, -2, 753, СВ 3м/с, -2, 756, СВ 3м/с
19-02-2016, 0, 761, СВ 2м/с, -2, 761, СВ 2м/с
20-02-2016, +1, 758, В 3м/с, -1, 755, В 3м/с
21-02-2016, -4, 750, В 3м/с, -4, 749, В 3м/с
22-02-2016, -3, 756, ЮВ 2м/с, -5, 754, ЮВ 2м/с
23-02-2016, +3, 749, ЮЗ 1м/с, +1, 750, ЮЗ 1м/с
24-02-2016, +3, 749, ЮВ 1м/с, +1, 749, ЮВ 1м/с
25-02-2016, 0, 742, ЮВ 2м/с, -1, 741, ЮВ 2м/с
26-02-2016, +3, 749, З 3м/с, -1, 753, З 3м/с
27-02-2016, +1, 758, Ю 2м/с, -1, 757, Ю 2м/с
28-02-2016, +1, 758, З 1м/с, +1, 760, З 1м/с
29-02-2016, +2, 760, Ш, -4, 758, Ш
01-03-2016, 0, 759, СЗ 2м/с, -3, 761, СЗ 2м/с
02-03-2016, -2, 757, В 3м/с, -1, 754, В 3м/с
03-03-2016, 0, 750, ЮВ 1м/с, 0, 749, ЮВ 1м/с
04-03-2016, +3, 747, В 2м/с, +2, 746, В 2м/с
05-03-2016, +2, 745, З 1м/с, +2, 746, З 1м/с
06-03-2016, +3, 751, З 1м/с, +2, 753, З 1м/с
07-03-2016, +6, 757, Ш, 0, 758, Ш
08-03-2016, +3, 758, СВ 2м/с, +3, 758, СВ 2м/с
09-03-2016, +2, 756, В 2м/с, +1, 756, В 2м/с
10-03-2016, +3, 756, В 3м/с, 0, 756, В 3м/с
11-03-2016, +4, 752, В 1м/с, +2, 752, В 1м/с
12-03-2016, +6, 749, СЗ 2м/с, +2, 750, СЗ 2м/с
13-03-2016, +1, 750, СЗ 4м/с, -2, 750, СЗ 4м/с
14-03-2016, -2, 749, С 1м/с, -3, 749, С 1м/с
15-03-2016, -2, 748, С 2м/с, -7, 746, С 2м/с
16-03-2016, 0, 737, З 3м/с, -1, 733, З 3м/с
17-03-2016, +2, 734, СЗ 2м/с, -1, 734, СЗ 2м/с
18-03-2016, +3, 729, ЮЗ 3м/с, +1, 728, ЮЗ 3м/с
19-03-2016, -4, 728, СЗ 4м/с, -7, 736, СЗ 4м/с
20-03-2016, -4, 743, ЮЗ 2м/с, -7, 744, ЮЗ 2м/с
21-03-2016, -2, 745, З 2м/с, -5, 746, З 2м/с
22-03-2016, -2, 749, ЮВ 2м/с, -4, 749, ЮВ 2м/с
23-03-2016, +4, 746, ЮВ 3м/с, +3, 746, ЮВ 3м/с
24-03-2016, +2, 747, З 1м/с, 0, 748, З 1м/с
25-03-2016, +2, 749, В 3м/с, +2, 749, В 3м/с
26-03-2016, +6, 746, В 2м/с, +4, 744, В 2м/с
27-03-2016, +2, 742, СЗ 2м/с, +2, 743, СЗ 2м/с
28-03-2016, +3, 748, СЗ 2м/с, +2, 749, СЗ 2м/с
29-03-2016, +5, 755, ЮВ 2м/с, +2, 755, ЮВ 2м/с
30-03-2016, +6, 754, В 1м/с, +2, 753, В 1м/с
31-03-2016, +9, 752, СЗ 2м/с, +4, 751, СЗ 2м/с
01-04-2016, +4, 742, З 3м/с, +4, 742, З 3м/с
02-04-2016, +5, 734, В 3м/с, +8, 732, В 3м/с
03-04-2016, +6, 737, ЮЗ 3м/с, +3, 739, ЮЗ 3м/с
04-04-2016, +5, 743, ЮЗ 2м/с, +4, 743, ЮЗ 2м/с
05-04-2016, +5, 742, С 1м/с, +2, 743, С 1м/с
06-04-2016, +4, 744, СЗ 2м/с, +2, 746, СЗ 2м/с
07-04-2016, +6, 749, З 2м/с, +2, 750, З 2м/с
08-04-2016, +14, 752, С 1м/с, +9, 752, С 1м/с
