01-01-2020, -2, 738, ЮЗ 1м/с, -2, 740, ЮЗ 1м/с
02-01-2020, -6, 749, СЗ 1м/с, -7, 750, СЗ 1м/с
03-01-2020, -5, 751, Ю 1м/с, -2, 749, Ю 1м/с
04-01-2020, -2, 745, ЮЗ 3м/с, -1, 745, ЮЗ 3м/с
05-01-2020, -1, 748, ЮЗ 1м/с, -1, 750, ЮЗ 1м/с
06-01-2020, 0, 755, Ш, -2, 756, Ш
07-01-2020, -2, 757, З 2м/с, -4, 758, З 2м/с
08-01-2020, -4, 760, В 1м/с, -4, 759, В 1м/с
09-01-2020, -3, 755, ЮЗ 2м/с, -5, 753, ЮЗ 2м/с
10-01-2020, -4, 750, ЮЗ 2м/с, -4, 750, ЮЗ 2м/с
11-01-2020, -2, 750, ЮЗ 1м/с, -3, 749, ЮЗ 1м/с
12-01-2020, -3, 751, З 2м/с, -3, 750, З 2м/с
13-01-2020, -4, 742, З 4м/с, -4, 742, З 4м/с
14-01-2020, 0, 751, З 2м/с, 0, 753, З 2м/с
15-01-2020, -1, 759, З 2м/с, -4, 759, З 2м/с
16-01-2020, +1, 752, З 4м/с, 0, 751, З 4м/с
17-01-2020, +1, 753, З 1м/с, +1, 755, З 1м/с
18-01-2020, +1, 756, З 1м/с, +1, 757, З 1м/с
19-01-2020, 0, 755, З 4м/с, -1, 755, З 4м/с
20-01-2020, -1, 752, З 3м/с, -2, 750, З 3м/с
21-01-2020, +1, 744, ЮЗ 2м/с, 0, 739, ЮЗ 2м/с
22-01-2020, +1, 731, З 4м/с, -2, 731, З 4м/с
23-01-2020, -2, 734, СЗ 1м/с, -6, 737, СЗ 1м/с
24-01-2020, -7, 743, З 3м/с, -10, 743, З 3м/с
25-01-2020, -1, 734, ЮЗ 2м/с, 0, 733, ЮЗ 2м/с
26-01-2020, -2, 737, СЗ 3м/с, -4, 742, СЗ 3м/с
27-01-2020, -2, 740, СЗ 5м/с, -7, 746, СЗ 5м/с
28-01-2020, -10, 756, Ю 1м/с, -13, 757, Ю 1м/с
29-01-2020, -8, 755, В 3м/с, -10, 754, В 3м/с
30-01-2020, -2, 748, В 3м/с, -2, 747, В 3м/с
31-01-2020, -1, 744, ЮВ 2м/с, -1, 744, ЮВ 2м/с
