1-1-2009, -10, 747, Ю 2м/с, -12, 744, Ю 2м/с

2-1-2009, -8, 740, Ю 2м/с, -9, 741, Ю 2м/с

3-1-2009, -14, 745, З 2м/с, -16, 747, З 2м/с

4-1-2009, -16, 747, В 2м/с, -13, 745, В 2м/с

5-1-2009, -12, 748, ЮВ 1м/с, -13, 748, ЮВ 1м/с

6-1-2009, -15, 748, З 1м/с, -18, 750, З 1м/с

7-1-2009, -16, 751, З 2м/с, -16, 753, З 2м/с

8-1-2009, -15, 756, Ю 2м/с, -17, 756, Ю 2м/с

9-1-2009, -13, 745, ЮВ 2м/с, -13, 744, ЮВ 2м/с

10-1-2009, -16, 747, В 2м/с, -16, 747, В 2м/с

11-1-2009, -20, 750, С 3м/с, -22, 750, С 3м/с

12-1-2009, -18, 751, З 1м/с, -20, 751, З 1м/с

13-1-2009, -16, 749, Ю 2м/с, -12, 746, Ю 2м/с

14-1-2009, -4, 746, ЮЗ 3м/с, -6, 749, ЮЗ 3м/с

15-1-2009, -2, 753, ЮЗ 1м/с, -2, 753, ЮЗ 1м/с

16-1-2009, -5, 748, Ю 2м/с, -2, 750, Ю 2м/с

17-1-2009, -4, 757, С 3м/с, -5, 758, С 3м/с

18-1-2009, -7, 756, В 5м/с, -7, 753, В 5м/с

19-1-2009, -5, 753, Ш, -8, 753, Ш

20-1-2009, -7, 753, Ю 2м/с, -7, 755, Ю 2м/с

21-1-2009, -5, 759, Ш, -5, 761, Ш

22-1-2009, -7, 763, ЮЗ 1м/с, -8, 763, ЮЗ 1м/с

23-1-2009, -7, 759, Ю 3м/с, -11, 758, Ю 3м/с

24-1-2009, -7, 753, В 3м/с, -8, 753, В 3м/с

25-1-2009, -4, 754, Ю 1м/с, -8, 754, Ю 1м/с

26-1-2009, -6, 756, В 1м/с, -8, 756, В 1м/с

27-1-2009, -4, 755, В 1м/с, -8, 755, В 1м/с

28-1-2009, -5, 754, ЮЗ 1м/с, -9, 753, ЮЗ 1м/с

29-1-2009, -7, 751, Ш, -12, 751, Ш

30-1-2009, -9, 751, В 2м/с, -10, 753, В 2м/с

31-1-2009, -8, 753, В 2м/с, -8, 753, В 2м/с

1-2-2009, -6, 753, СЗ 1м/с, -10, 754, СЗ 1м/с

2-2-2009, -8, 754, З 1м/с, -11, 752, З 1м/с

3-2-2009, -8, 747, З 2м/с, -11, 749, З 2м/с

4-2-2009, -8, 748, ЮЗ 4м/с, -11, 753, ЮЗ 4м/с

5-2-2009, -5, 741, З 3м/с, -4, 742, З 3м/с

6-2-2009, -7, 744, В 2м/с, -11, 744, В 2м/с

7-2-2009, -17, 747, СЗ 2м/с, -18, 750, СЗ 2м/с

8-2-2009, -11, 753, Ш, -10, 754, Ш

9-2-2009, -6, 756, ЮЗ 2м/с, -12, 756, ЮЗ 2м/с

10-2-2009, -8, 755, В 2м/с, -11, 755, В 2м/с

11-2-2009, -4, 754, В 3м/с, -7, 753, В 3м/с

12-2-2009, -5, 754, ЮВ 2м/с, -5, 754, ЮВ 2м/с

13-2-2009, -5, 751, ЮВ 3м/с, -7, 751, ЮВ 3м/с

14-2-2009, -2, 756, Ш, -3, 756, Ш

15-2-2009, -2, 756, В 2м/с, -5, 756, В 2м/с

16-2-2009, -2, 756, В 3м/с, -7, 756, В 3м/с

17-2-2009, -3, 756, В 2м/с, -4, 756, В 2м/с

18-2-2009, -3, 755, В 1м/с, -7, 756, В 1м/с

19-2-2009, -3, 756, В 2м/с, -4, 756, В 2м/с

20-2-2009, -3, 762, В 3м/с, -9, 765, В 3м/с

21-2-2009, -8, 767, В 3м/с, -11, 765, В 3м/с

22-2-2009, -8, 761, В 3м/с, -12, 761, В 3м/с

23-2-2009, -7, 759, В 1м/с, -9, 760, В 1м/с

24-2-2009, -4, 760, В 1м/с, -8, 760, В 1м/с

25-2-2009, -5, 757, В 2м/с, -10, 756, В 2м/с

26-2-2009, -5, 754, ЮВ 1м/с, -7, 753, ЮВ 1м/с

27-2-2009, -5, 753, ЮВ 2м/с, -5, 753, ЮВ 2м/с

28-2-2009, -3, 750, В 3м/с, -4, 749, В 3м/с

1-3-2009, +1, 745, В 4м/с, -3, 745, В 4м/с

2-3-2009, -1, 742, В 5м/с, -2, 741, В 5м/с

3-3-2009, -1, 750, Ю 1м/с, -5, 751, Ю 1м/с

4-3-2009, +1, 750, СЗ 2м/с, -5, 750, СЗ 2м/с

5-3-2009, 0, 751, Ш, -5, 752, Ш

6-3-2009, -2, 751, Ш, -6, 753, Ш

7-3-2009, -2, 756, СВ 1м/с, -5, 756, СВ 1м/с

8-3-2009, -3, 757, В 2м/с, -6, 756, В 2м/с

9-3-2009, -3, 751, В 5м/с, -4, 748, В 5м/с

10-3-2009, +1, 741, ЮЗ 2м/с, 0, 744, ЮЗ 2м/с

11-3-2009, +1, 747, Ю 3м/с, 0, 748, Ю 3м/с

12-3-2009, +1, 747, В 1м/с, 0, 744, В 1м/с

13-3-2009, 0, 750, З 3м/с, -2, 751, З 3м/с

14-3-2009, -1, 751, С 2м/с, -6, 753, С 2м/с

15-3-2009, -2, 755, С 2м/с, -6, 755, С 2м/с

16-3-2009, +2, 757, С 2м/с, -5, 756, С 2м/с

17-3-2009, +1, 753, З 1м/с, -4, 753, З 1м/с

18-3-2009, +2, 752, З 1м/с, -4, 753, З 1м/с

