1-1-2010, -4, 745, В 3м/с, -1, 742, В 3м/с

2-1-2010, -5, 743, В 2м/с, -6, 741, В 2м/с

3-1-2010, -3, 734, В 1м/с, 0, 734, В 1м/с

4-1-2010, -17, 743, СЗ 2м/с, -21, 747, СЗ 2м/с

5-1-2010, -19, 757, С 1м/с, -21, 759, С 1м/с

6-1-2010, -18, 763, Ш, -22, 764, Ш

7-1-2010, -17, 767, СЗ 2м/с, -21, 767, СЗ 2м/с

8-1-2010, -20, 766, В 2м/с, -17, 764, В 2м/с

9-1-2010, -8, 761, Ю 1м/с, -8, 760, Ю 1м/с

10-1-2010, -12, 760, Ш, -16, 760, Ш

11-1-2010, -14, 756, ЮЗ 1м/с, -12, 756, ЮЗ 1м/с

12-1-2010, -11, 752, ЮЗ 2м/с, -12, 750, ЮЗ 2м/с

13-1-2010, -7, 747, З 3м/с, -7, 748, З 3м/с

14-1-2010, -8, 751, СЗ 2м/с, -12, 755, СЗ 2м/с

15-1-2010, -14, 761, Ш, -16, 761, Ш

16-1-2010, -17, 768, Ш, -20, 771, Ш

17-1-2010, -17, 774, Ш, -22, 774, Ш

18-1-2010, -18, 770, З 2м/с, -21, 770, З 2м/с

19-1-2010, -17, 769, В 1м/с, -19, 769, В 1м/с

20-1-2010, -17, 770, В 1м/с, -17, 770, В 1м/с

21-1-2010, -15, 767, Ш, -19, 765, Ш

22-1-2010, -20, 763, Ш, -26, 764, Ш

23-1-2010, -22, 762, Ш, -27, 762, Ш

24-1-2010, -19, 761, Ш, -21, 760, Ш

25-1-2010, -14, 761, В 2м/с, -13, 761, В 2м/с

26-1-2010, -7, 761, В 4м/с, -10, 764, В 4м/с

27-1-2010, -12, 762, В 3м/с, -15, 759, В 3м/с

28-1-2010, -14, 749, В 2м/с, -16, 747, В 2м/с

29-1-2010, -15, 748, В 1м/с, -20, 750, В 1м/с

30-1-2010, -16, 750, В 4м/с, -12, 750, В 4м/с

31-1-2010, -7, 757, В 1м/с, -7, 758, В 1м/с

1-2-2010, -5, 758, ЮВ 3м/с, -6, 759, ЮВ 3м/с

2-2-2010, -7, 759, В 3м/с, -9, 760, В 3м/с

3-2-2010, -11, 764, В 3м/с, -14, 766, В 3м/с

4-2-2010, -9, 772, В 2м/с, -12, 773, В 2м/с

5-2-2010, -9, 770, Ш, -13, 768, Ш

6-2-2010, -10, 767, СЗ 1м/с, -16, 767, СЗ 1м/с

7-2-2010, -11, 767, З 1м/с, -16, 767, З 1м/с

8-2-2010, -13, 767, В 2м/с, -15, 767, В 2м/с

9-2-2010, -14, 770, В 4м/с, -16, 770, В 4м/с

10-2-2010, -15, 774, ЮВ 2м/с, -18, 775, ЮВ 2м/с

11-2-2010, -16, 776, ЮВ 2м/с, -19, 776, ЮВ 2м/с

12-2-2010, -12, 776, В 1м/с, -16, 776, В 1м/с

13-2-2010, -10, 773, З 1м/с, -15, 770, З 1м/с

14-2-2010, -10, 764, В 3м/с, -13, 761, В 3м/с

15-2-2010, -10, 752, ЮВ 3м/с, -9, 749, ЮВ 3м/с

16-2-2010, -7, 740, В 2м/с, -7, 736, В 2м/с

