1-1-2014, 0, 759, З 1м/с, -1, 759, З 1м/с

2-1-2014, -1, 758, З 1м/с, -2, 759, З 1м/с

3-1-2014, -3, 762, С 1м/с, -3, 763, С 1м/с

4-1-2014, -8, 765, В 3м/с, -8, 764, В 3м/с

5-1-2014, -10, 763, ЮВ 1м/с, -11, 762, ЮВ 1м/с

6-1-2014, -12, 759, Ю 2м/с, -10, 758, Ю 2м/с

7-1-2014, -6, 755, Ю 1м/с, -6, 756, Ю 1м/с

8-1-2014, -3, 751, Ю 2м/с, +1, 749, Ю 2м/с

9-1-2014, 0, 745, З 2м/с, 0, 743, З 2м/с

10-1-2014, 0, 742, З 1м/с, 0, 743, З 1м/с

11-1-2014, +1, 735, Ю 3м/с, +1, 735, Ю 3м/с

12-1-2014, 0, 739, ЮЗ 2м/с, -1, 741, ЮЗ 2м/с

13-1-2014, +1, 736, Ю 3м/с, +1, 737, Ю 3м/с

14-1-2014, 0, 740, ЮЗ 2м/с, -4, 742, ЮЗ 2м/с

15-1-2014, -9, 750, З 3м/с, -11, 752, З 3м/с

16-1-2014, -10, 753, В 2м/с, -8, 747, В 2м/с

17-1-2014, -4, 740, З 4м/с, -10, 742, З 4м/с

18-1-2014, -11, 747, З 3м/с, -15, 747, З 3м/с

19-1-2014, -18, 747, С 2м/с, -22, 749, С 2м/с

20-1-2014, -19, 755, СЗ 3м/с, -16, 756, СЗ 3м/с

21-1-2014, -12, 759, З 2м/с, -12, 759, З 2м/с

22-1-2014, -13, 758, В 1м/с, -19, 758, В 1м/с

23-1-2014, -15, 752, В 3м/с, -13, 751, В 3м/с

24-1-2014, -10, 750, В 4м/с, -10, 750, В 4м/с

25-1-2014, -12, 752, В 3м/с, -15, 754, В 3м/с

26-1-2014, -17, 754, СЗ 2м/с, -21, 755, СЗ 2м/с

27-1-2014, -17, 756, З 2м/с, -21, 756, З 2м/с

28-1-2014, -22, 759, С 2м/с, -26, 760, С 2м/с

29-1-2014, -27, 766, С 2м/с, -29, 768, С 2м/с

30-1-2014, -23, 773, СЗ 2м/с, -25, 773, СЗ 2м/с

31-1-2014, -17, 774, З 1м/с, -23, 774, З 1м/с

1-2-2014, -20, 775, В 2м/с, -26, 776, В 2м/с

2-2-2014, -19, 775, ЮЗ 1м/с, -22, 773, ЮЗ 1м/с

3-2-2014, -16, 761, З 3м/с, -15, 758, З 3м/с

4-2-2014, -12, 747, Ю 1м/с, -12, 745, Ю 1м/с

5-2-2014, -16, 750, С 2м/с, -19, 752, С 2м/с

6-2-2014, -15, 754, С 1м/с, -21, 755, С 1м/с

7-2-2014, -19, 758, ЮВ 2м/с, -24, 759, ЮВ 2м/с

8-2-2014, -15, 759, ЮВ 2м/с, -16, 759, ЮВ 2м/с

9-2-2014, -13, 761, В 2м/с, -14, 761, В 2м/с

10-2-2014, -15, 761, В 2м/с, -18, 760, В 2м/с

11-2-2014, -13, 760, ЮВ 2м/с, -13, 759, ЮВ 2м/с

12-2-2014, -9, 754, Ю 2м/с, -8, 753, Ю 2м/с

13-2-2014, -1, 753, Ю 1м/с, -1, 753, Ю 1м/с

14-2-2014, +1, 754, Ю 2м/с, -1, 755, Ю 2м/с

