1-1-2015, -14, 743, З 2м/с, -12, 744, З 2м/с
2-1-2015, -7, 743, Ю 2м/с, -7, 740, Ю 2м/с
3-1-2015, -1, 733, ЮЗ 2м/с, 0, 733, ЮЗ 2м/с
4-1-2015, 0, 735, ЮЗ 2м/с, 0, 735, ЮЗ 2м/с
5-1-2015, -3, 738, ЮЗ 3м/с, -2, 737, ЮЗ 3м/с
6-1-2015, -6, 741, СЗ 2м/с, -12, 745, СЗ 2м/с
7-1-2015, -22, 750, С 1м/с, -27, 752, С 1м/с
8-1-2015, -22, 752, З 1м/с, -21, 750, З 1м/с
9-1-2015, -13, 746, З 3м/с, -12, 745, З 3м/с
10-1-2015, -9, 744, Ю 3м/с, -5, 745, Ю 3м/с
11-1-2015, -10, 741, ЮВ 4м/с, -8, 737, ЮВ 4м/с
12-1-2015, -1, 738, ЮЗ 2м/с, -1, 739, ЮЗ 2м/с
13-1-2015, -1, 742, З 3м/с, -3, 740, З 3м/с
14-1-2015, +1, 746, З 3м/с, +2, 746, З 3м/с
15-1-2015, +2, 751, ЮЗ 1м/с, -2, 751, ЮЗ 1м/с
16-1-2015, -3, 749, СЗ 1м/с, -1, 752, СЗ 1м/с
17-1-2015, -3, 756, З 1м/с, -8, 756, З 1м/с
18-1-2015, -8, 752, З 2м/с, -5, 752, З 2м/с
19-1-2015, -1, 749, З 1м/с, -1, 749, З 1м/с
20-1-2015, -3, 754, СЗ 3м/с, -11, 758, СЗ 3м/с
21-1-2015, -13, 760, СЗ 1м/с, -16, 759, СЗ 1м/с
22-1-2015, -12, 759, С 2м/с, -17, 762, С 2м/с
23-1-2015, -15, 770, З 1м/с, -20, 771, З 1м/с
24-1-2015, -17, 771, ЮВ 1м/с, -20, 771, ЮВ 1м/с
25-1-2015, -15, 772, Ю 2м/с, -17, 771, Ю 2м/с
26-1-2015, -18, 767, В 2м/с, -21, 766, В 2м/с
27-1-2015, -17, 763, В 3м/с, -19, 762, В 3м/с
28-1-2015, -17, 757, В 2м/с, -17, 757, В 2м/с
29-1-2015, -17, 754, ЮВ 2м/с, -18, 754, ЮВ 2м/с
30-1-2015, -16, 754, ЮВ 2м/с, -16, 754, ЮВ 2м/с
31-1-2015, -9, 756, ЮВ 2м/с, -10, 756, ЮВ 2м/с
1-2-2015, -9, 755, В 3м/с, -12, 754, В 3м/с
2-2-2015, -5, 747, ЮВ 3м/с, -4, 747, ЮВ 3м/с
3-2-2015, -5, 748, ЮВ 3м/с, -6, 748, ЮВ 3м/с
4-2-2015, -6, 748, ЮВ 3м/с, -6, 748, ЮВ 3м/с
5-2-2015, -2, 748, З 3м/с, -3, 750, З 3м/с
6-2-2015, -5, 751, Ю 2м/с, -6, 748, Ю 2м/с
7-2-2015, -7, 740, С 2м/с, -11, 739, С 2м/с
8-2-2015, -10, 738, З 1м/с, -13, 740, З 1м/с
9-2-2015, -5, 740, Ю 3м/с, -4, 742, Ю 3м/с
10-2-2015, -2, 750, Ю 2м/с, -4, 751, Ю 2м/с
11-2-2015, -7, 752, З 2м/с, -10, 751, З 2м/с
12-2-2015, -4, 754, ЮЗ 3м/с, -7, 754, ЮЗ 3м/с
13-2-2015, -5, 753, З 2м/с, -4, 754, З 2м/с
14-2-2015, +3, 757, СЗ 1м/с, -6, 756, СЗ 1м/с
15-2-2015, -5, 748, ЮЗ 2м/с, -6, 746, ЮЗ 2м/с
16-2-2015, -10, 752, С 3м/с, -12, 755, С 3м/с
17-2-2015, -11, 761, С 1м/с, -15, 763, С 1м/с
18-2-2015, -9, 759, ЮЗ 1м/с, -17, 756, ЮЗ 1м/с
19-2-2015, -10, 749, З 1м/с, -12, 750, З 1м/с
20-2-2015, -9, 751, З 3м/с, -11, 750, З 3м/с
21-2-2015, -4, 750, З 3м/с, -4, 751, З 3м/с
22-2-2015, 0, 756, Ю 2м/с, 0, 756, Ю 2м/с
23-2-2015, +2, 758, З 3м/с, -3, 759, З 3м/с
24-2-2015, +4, 762, З 1м/с, -6, 763, З 1м/с
25-2-2015, +2, 765, ЮВ 1м/с, -6, 766, ЮВ 1м/с
26-2-2015, -2, 767, ЮВ 2м/с, -6, 767, ЮВ 2м/с
27-2-2015, -6, 764, Ю 1м/с, -7, 764, Ю 1м/с
28-2-2015, -4, 761, ЮВ 1м/с, -6, 761, ЮВ 1м/с
1-3-2015, -2, 758, В 3м/с, -5, 758, В 3м/с
2-3-2015, -2, 756, ЮВ 2м/с, -6, 756, ЮВ 2м/с
3-3-2015, -3, 755, В 2м/с, -6, 755, В 2м/с
4-3-2015, -2, 752, В 1м/с, -8, 752, В 1м/с
5-3-2015, -8, 755, ЮВ 2м/с, -11, 756, ЮВ 2м/с
6-3-2015, -6, 758, ЮВ 1м/с, -11, 759, ЮВ 1м/с
7-3-2015, -7, 758, В 1м/с, -10, 758, В 1м/с
