1-1-2020, -2, 738, ЮЗ 1м/с, -2, 740, ЮЗ 1м/с
2-1-2020, -6, 749, СЗ 1м/с, -7, 750, СЗ 1м/с
3-1-2020, -5, 751, Ю 1м/с, -2, 749, Ю 1м/с
4-1-2020, -2, 745, ЮЗ 3м/с, -1, 745, ЮЗ 3м/с
5-1-2020, -1, 748, ЮЗ 1м/с, -1, 750, ЮЗ 1м/с
6-1-2020, 0, 755, Ш, -2, 756, Ш
7-1-2020, -2, 757, З 2м/с, -4, 758, З 2м/с
8-1-2020, -4, 760, В 1м/с, -4, 759, В 1м/с
9-1-2020, -3, 755, ЮЗ 2м/с, -5, 753, ЮЗ 2м/с
10-1-2020, -4, 750, ЮЗ 2м/с, -4, 750, ЮЗ 2м/с
11-1-2020, -2, 750, ЮЗ 1м/с, -3, 749, ЮЗ 1м/с
12-1-2020, -3, 751, З 2м/с, -3, 750, З 2м/с
13-1-2020, -4, 742, З 4м/с, -4, 742, З 4м/с
14-1-2020, 0, 751, З 2м/с, 0, 753, З 2м/с
15-1-2020, -1, 759, З 2м/с, -4, 759, З 2м/с
16-1-2020, +1, 752, З 4м/с, 0, 751, З 4м/с
17-1-2020, +1, 753, З 1м/с, +1, 755, З 1м/с
18-1-2020, +1, 756, З 1м/с, +1, 757, З 1м/с
19-1-2020, 0, 755, З 4м/с, -1, 755, З 4м/с
20-1-2020, -1, 752, З 3м/с, -2, 750, З 3м/с
21-1-2020, +1, 744, ЮЗ 2м/с, 0, 739, ЮЗ 2м/с
22-1-2020, +1, 731, З 4м/с, -2, 731, З 4м/с
23-1-2020, -2, 734, СЗ 1м/с, -6, 737, СЗ 1м/с
24-1-2020, -7, 743, З 3м/с, -10, 743, З 3м/с
25-1-2020, -1, 734, ЮЗ 2м/с, 0, 733, ЮЗ 2м/с
26-1-2020, -2, 737, СЗ 3м/с, -4, 742, СЗ 3м/с
27-1-2020, -2, 740, СЗ 5м/с, -7, 746, СЗ 5м/с
28-1-2020, -10, 756, Ю 1м/с, -13, 757, Ю 1м/с
29-1-2020, -8, 755, В 3м/с, -10, 754, В 3м/с
30-1-2020, -2, 748, В 3м/с, -2, 747, В 3м/с
31-1-2020, -1, 744, ЮВ 2м/с, -1, 744, ЮВ 2м/с
1-2-2020, 0, 745, ЮЗ 1м/с, -1, 746, ЮЗ 1м/с
2-2-2020, -1, 745, В 2м/с, -1, 743, В 2м/с
3-2-2020, +1, 729, ЮЗ 3м/с, +2, 730, ЮЗ 3м/с
4-2-2020, 0, 730, З 3м/с, -1, 733, З 3м/с
5-2-2020, -2, 739, З 3м/с, -4, 742, З 3м/с
6-2-2020, -6, 743, З 2м/с, -9, 743, З 2м/с
7-2-2020, -7, 737, С 1м/с, -9, 740, С 1м/с
8-2-2020, -12, 746, СЗ 2м/с, -15, 750, СЗ 2м/с
9-2-2020, -12, 755, З 2м/с, -15, 756, З 2м/с
10-2-2020, -7, 749, ЮЗ 3м/с, -7, 749, ЮЗ 3м/с
11-2-2020, -5, 750, Ю 2м/с, -7, 751, Ю 2м/с
12-2-2020, -5, 751, Ю 1м/с, -8, 750, Ю 1м/с
13-2-2020, -5, 748, В 1м/с, -8, 747, В 1м/с
14-2-2020, -6, 750, С 1м/с, -8, 752, С 1м/с
15-2-2020, -5, 758, ЮЗ 1м/с, -7, 759, ЮЗ 1м/с
16-2-2020, -5, 764, В 1м/с, -5, 764, В 1м/с
17-2-2020, 0, 758, ЮЗ 2м/с, 0, 756, ЮЗ 2м/с
18-2-2020, +2, 752, ЮЗ 3м/с, +1, 752, ЮЗ 3м/с
19-2-2020, +1, 748, ЮЗ 2м/с, +1, 748, ЮЗ 2м/с
20-2-2020, +3, 752, З 1м/с, 0, 753, З 1м/с
21-2-2020, +3, 756, Ш, -4, 758, Ш
22-2-2020, -2, 761, В 2м/с, -5, 760, В 2м/с
23-2-2020, -2, 751, ЮВ 2м/с, -2, 746, ЮВ 2м/с
24-2-2020, +2, 740, ЮЗ 2м/с, +1, 742, ЮЗ 2м/с
25-2-2020, 0, 735, В 3м/с, +1, 734, В 3м/с
26-2-2020, +1, 742, З 3м/с, -1, 744, З 3м/с
27-2-2020, +3, 744, Ю 3м/с, +4, 743, Ю 3м/с
28-2-2020, +3, 744, В 2м/с, +3, 743, В 2м/с
29-2-2020, +4, 744, З 2м/с, +1, 747, З 2м/с
1-3-2020, +3, 752, З 3м/с, -3, 755, З 3м/с
2-3-2020, +5, 757, ЮЗ 3м/с, +3, 758, ЮЗ 3м/с
3-3-2020, +4, 757, Ю 2м/с, 0, 755, Ю 2м/с
4-3-2020, +1, 752, ЮВ 2м/с, +1, 753, ЮВ 2м/с
5-3-2020, +2, 760, В 3м/с, 0, 761, В 3м/с
6-3-2020, +1, 763, В 4м/с, -3, 762, В 4м/с
7-3-2020, +3, 761, Ю 2м/с, +2, 760, Ю 2м/с
8-3-2020, +3, 758, Ю 3м/с, +2, 758, Ю 3м/с
