10-01-2008, -20, 765, В 2м/с, -22, 765, В 2м/с
11-01-2008, -20, 764, Ш, -24, 764, Ш
12-01-2008, -20, 762, З 2м/с, -20, 761, З 2м/с
13-01-2008, -9, 756, ЮЗ 3м/с, -7, 754, ЮЗ 3м/с
14-01-2008, -6, 751, ЮЗ 2м/с, -4, 752, ЮЗ 2м/с
15-01-2008, -1, 753, З 1м/с, -2, 754, З 1м/с
16-01-2008, -1, 759, Ш, -2, 762, Ш
17-01-2008, -4, 765, Ю 3м/с, -4, 765, Ю 3м/с
18-01-2008, -8, 765, Ю 1м/с, -10, 765, Ю 1м/с
19-01-2008, -9, 765, Ш, -12, 765, Ш
20-01-2008, -9, 762, Ю 3м/с, -14, 762, Ю 3м/с
21-01-2008, -15, 759, В 2м/с, -17, 759, В 2м/с
22-01-2008, -13, 753, В 4м/с, -11, 751, В 4м/с
23-01-2008, -9, 751, Ю 3м/с, -9, 751, Ю 3м/с
24-01-2008, -11, 750, В 3м/с, -10, 751, В 3м/с
25-01-2008, -8, 753, В 1м/с, -10, 751, В 1м/с
26-01-2008, -4, 742, Ю 2м/с, -3, 741, Ю 2м/с
27-01-2008, -1, 735, В 2м/с, -2, 735, В 2м/с
28-01-2008, -1, 741, ЮВ 3м/с, -3, 744, ЮВ 3м/с
29-01-2008, -4, 749, Ю 1м/с, -5, 750, Ю 1м/с
30-01-2008, -6, 753, С 1м/с, -5, 753, С 1м/с
31-01-2008, -7, 753, В 1м/с, -11, 753, В 1м/с
01-02-2008, -11, 753, ЮВ 1м/с, -14, 753, ЮВ 1м/с
02-02-2008, -12, 756, В 1м/с, -11, 758, В 1м/с
03-02-2008, -6, 756, В 1м/с, -5, 754, В 1м/с
04-02-2008, -3, 756, З 4м/с, -2, 754, З 4м/с
05-02-2008, -1, 759, З 1м/с, -9, 760, З 1м/с
06-02-2008, -6, 760, З 2м/с, -9, 761, З 2м/с
07-02-2008, -8, 765, Ш, -6, 767, Ш
08-02-2008, -10, 773, В 2м/с, -15, 773, В 2м/с
09-02-2008, -14, 774, ЮЗ 3м/с, -18, 772, ЮЗ 3м/с
10-02-2008, -12, 762, ЮЗ 3м/с, -11, 762, ЮЗ 3м/с
11-02-2008, -3, 760, ЮЗ 1м/с, -3, 762, ЮЗ 1м/с
12-02-2008, -5, 763, ЮЗ 1м/с, -7, 763, ЮЗ 1м/с
13-02-2008, -4, 758, ЮЗ 4м/с, -6, 755, ЮЗ 4м/с
14-02-2008, -6, 746, ЮЗ 4м/с, -9, 744, ЮЗ 4м/с
15-02-2008, -13, 744, В 2м/с, -13, 741, В 2м/с
16-02-2008, -10, 741, ЮЗ 2м/с, -17, 744, ЮЗ 2м/с
17-02-2008, -11, 750, З 2м/с, -16, 753, З 2м/с
18-02-2008, -14, 751, ЮЗ 3м/с, -15, 750, ЮЗ 3м/с
19-02-2008, -13, 746, ЮВ 2м/с, -14, 744, ЮВ 2м/с
20-02-2008, -8, 735, СЗ 2м/с, -13, 735, СЗ 2м/с
21-02-2008, -8, 740, СЗ 4м/с, -10, 744, СЗ 4м/с
22-02-2008, -7, 750, З 3м/с, -8, 746, З 3м/с
23-02-2008, +1, 734, ЮЗ 4м/с, +1, 732, ЮЗ 4м/с
24-02-2008, +3, 739, ЮЗ 3м/с, +1, 741, ЮЗ 3м/с
25-02-2008, 0, 741, ЮЗ 4м/с, +1, 738, ЮЗ 4м/с
26-02-2008, 0, 728, ЮЗ 3м/с, +1, 735, ЮЗ 3м/с
27-02-2008, +2, 744, З 3м/с, 0, 745, З 3м/с
28-02-2008, +2, 741, ЮЗ 3м/с, +1, 740, ЮЗ 3м/с
29-02-2008, +2, 738, ЮЗ 3м/с, +1, 740, ЮЗ 3м/с
01-03-2008, +3, 743, Ю 3м/с, +2, 742, Ю 3м/с
02-03-2008, +2, 738, В 3м/с, +3, 737, В 3м/с
03-03-2008, +2, 736, Ю 2м/с, +1, 738, Ю 2м/с
04-03-2008, +1, 735, В 1м/с, 0, 735, В 1м/с
05-03-2008, +1, 744, З 3м/с, -1, 748, З 3м/с
06-03-2008, +1, 750, ЮЗ 5м/с, -1, 751, ЮЗ 5м/с
07-03-2008, +2, 747, ЮЗ 4м/с, 0, 744, ЮЗ 4м/с
08-03-2008, +2, 742, З 2м/с, 0, 746, З 2м/с
09-03-2008, +1, 753, С 2м/с, -3, 754, С 2м/с
10-03-2008, -2, 752, СВ 3м/с, -4, 752, СВ 3м/с
11-03-2008, 0, 752, С 2м/с, -4, 752, С 2м/с
12-03-2008, 0, 751, ЮВ 2м/с, -3, 750, ЮВ 2м/с
13-03-2008, +3, 746, Ю 2м/с, -1, 746, Ю 2м/с
14-03-2008, +4, 744, Ш, -1, 744, Ш
15-03-2008, +4, 741, В 1м/с, +1, 741, В 1м/с
16-03-2008, 0, 738, В 1м/с, -1, 744, В 1м/с
17-03-2008, +2, 735, ЮЗ 3м/с, +1, 737, ЮЗ 3м/с
18-03-2008, 0, 737, В 2м/с, +1, 735, В 2м/с
19-03-2008, +4, 741, ЮВ 1м/с, +2, 738, ЮВ 1м/с
20-03-2008, +4, 746, ЮЗ 4м/с, +2, 740, ЮЗ 4м/с
21-03-2008, +5, 741, ЮЗ 4м/с, +3, 740, ЮЗ 4м/с
22-03-2008, +2, 738, З 1м/с, +1, 742, З 1м/с
23-03-2008, +3, 748, Ю 1м/с, +2, 748, Ю 1м/с
24-03-2008, +4, 745, ЮВ 2м/с, +2, 747, ЮВ 2м/с
25-03-2008, +10, 744, В 2м/с, +5, 742, В 2м/с
26-03-2008, +15, 738, В 3м/с, +10, 741, В 3м/с
27-03-2008, +12, 746, ЮЗ 2м/с, +10, 747, ЮЗ 2м/с
28-03-2008, +8, 756, З 2м/с, +5, 758, З 2м/с
29-03-2008, +9, 759, С 2м/с, +5, 759, С 2м/с
30-03-2008, +7, 754, С 4м/с, +5, 753, С 4м/с
31-03-2008, +10, 753, С 2м/с, +5, 753, С 2м/с
01-04-2008, +11, 752, СВ 4м/с, +5, 752, СВ 4м/с
02-04-2008, +10, 749, СВ 3м/с, +6, 749, СВ 3м/с
03-04-2008, +15, 748, СВ 4м/с, +10, 749, СВ 4м/с
04-04-2008, +17, 746, СВ 2м/с, +11, 747, СВ 2м/с
05-04-2008, +17, 747, В 2м/с, +14, 748, В 2м/с
06-04-2008, +20, 753, ЮЗ 2м/с, +16, 753, ЮЗ 2м/с
07-04-2008, +20, 755, Ю 3м/с, +16, 756, Ю 3м/с
08-04-2008, +19, 755, Ю 3м/с, +14, 754, Ю 3м/с
09-04-2008, +20, 753, Ю 3м/с, +15, 753, Ю 3м/с
10-04-2008, +21, 752, Ю 2м/с, +17, 752, Ю 2м/с
11-04-2008, +22, 750, Ю 3м/с, +14, 750, Ю 3м/с
12-04-2008, +21, 747, ЮЗ 2м/с, +17, 747, ЮЗ 2м/с
13-04-2008, +20, 747, С 2м/с, +13, 748, С 2м/с
14-04-2008, +9, 743, В 4м/с, +5, 740, В 4м/с
15-04-2008, +8, 747, В 3м/с, +3, 752, В 3м/с
16-04-2008, +8, 758, В 2м/с, +5, 759, В 2м/с
17-04-2008, +11, 759, ЮВ 3м/с, +7, 758, ЮВ 3м/с
18-04-2008, +12, 756, ЮВ 4м/с, +9, 754, ЮВ 4м/с
19-04-2008, +12, 753, ЮВ 2м/с, +10, 751, ЮВ 2м/с
20-04-2008, +15, 748, З 2м/с, +10, 748, З 2м/с
21-04-2008, +19, 746, Ю 2м/с, +14, 746, Ю 2м/с
22-04-2008, +18, 742, З 2м/с, +13, 742, З 2м/с
23-04-2008, +9, 746, СЗ 3м/с, +9, 747, СЗ 3м/с
24-04-2008, +4, 742, С 2м/с, +5, 744, С 2м/с
25-04-2008, +13, 750, ЮЗ 3м/с, +11, 752, ЮЗ 3м/с
26-04-2008, +16, 752, ЮЗ 3м/с, +10, 753, ЮЗ 3м/с
27-04-2008, +14, 755, СЗ 4м/с, +8, 753, СЗ 4м/с
28-04-2008, +15, 752, З 1м/с, +9, 752, З 1м/с
29-04-2008, +17, 752, СЗ 2м/с, +12, 753, СЗ 2м/с
30-04-2008, +20, 754, З 2м/с, +15, 755, З 2м/с
01-05-2008, +21, 752, З 2м/с, +16, 750, З 2м/с
02-05-2008, +14, 751, СВ 4м/с, +8, 753, СВ 4м/с
03-05-2008, +13, 754, С 4м/с, +9, 754, С 4м/с
04-05-2008, +15, 755, СВ 2м/с, +8, 754, СВ 2м/с
05-05-2008, +17, 752, З 1м/с, +11, 751, З 1м/с
06-05-2008, +19, 746, З 2м/с, +14, 744, З 2м/с
07-05-2008, +20, 742, З 2м/с, +16, 743, З 2м/с
08-05-2008, +20, 741, С 3м/с, +15, 743, С 3м/с
09-05-2008, +19, 746, З 2м/с, +12, 748, З 2м/с
10-05-2008, +20, 751, З 2м/с, +14, 752, З 2м/с
11-05-2008, +24, 748, В 3м/с, +19, 748, В 3м/с
12-05-2008, +24, 745, С 2м/с, +15, 745, С 2м/с
13-05-2008, +21, 744, ЮЗ 3м/с, +15, 744, ЮЗ 3м/с
14-05-2008, +12, 738, В 1м/с, +11, 736, В 1м/с
15-05-2008, +10, 741, ЮЗ 4м/с, +7, 744, ЮЗ 4м/с
16-05-2008, +13, 749, З 3м/с, +11, 750, З 3м/с
17-05-2008, +21, 749, ЮЗ 3м/с, +18, 749, ЮЗ 3м/с
18-05-2008, +22, 751, З 1м/с, +18, 752, З 1м/с
19-05-2008, +27, 752, ЮЗ 3м/с, +21, 752, ЮЗ 3м/с
20-05-2008, +29, 752, ЮЗ 2м/с, +21, 751, ЮЗ 2м/с
21-05-2008, +29, 750, ЮЗ 1м/с, +21, 750, ЮЗ 1м/с
22-05-2008, +29, 748, ЮЗ 1м/с, +19, 748, ЮЗ 1м/с
23-05-2008, +18, 751, С 4м/с, +17, 752, С 4м/с
24-05-2008, +20, 748, В 2м/с, +22, 745, В 2м/с
25-05-2008, +25, 744, З 2м/с, +20, 743, З 2м/с
26-05-2008, +22, 739, СЗ 2м/с, +16, 741, СЗ 2м/с
27-05-2008, +17, 744, С 2м/с, +15, 744, С 2м/с
28-05-2008, +10, 742, С 3м/с, +9, 741, С 3м/с
29-05-2008, +11, 738, СЗ 2м/с, +10, 739, СЗ 2м/с
30-05-2008, +19, 740, З 2м/с, +13, 741, З 2м/с
31-05-2008, +12, 740, СВ 1м/с, +12, 740, СВ 1м/с
01-06-2008, +16, 742, З 2м/с, +11, 744, З 2м/с
02-06-2008, +13, 747, З 1м/с, +11, 748, З 1м/с
03-06-2008, +19, 747, Ш, +12, 748, Ш
04-06-2008, +19, 746, З 1м/с, +16, 746, З 1м/с
05-06-2008, +16, 739, ЮЗ 3м/с, +12, 740, ЮЗ 3м/с
